team_abbreviation_home,team_abbreviation_away,lambda_h,actual_home_pts,home_error,lambda_a,actual_away_pts,away_error,home_win
PHX,IND,114.63778,111.0,-3.637779235839844,110.64717,120.0,9.352828979492188,0
SAS,ATL,116.91369,133.0,16.08631134033203,118.031975,126.0,7.968025207519531,1
TOR,BKN,113.246254,94.0,-19.24625396728516,108.047806,101.0,-7.0478057861328125,0
MIN,NYK,106.901764,107.0,0.098236083984375,103.425606,133.0,29.57439422607422,0
CLE,MIL,113.77229,124.0,10.227706909179688,111.770355,101.0,-10.770355224609377,1
PHI,CHA,112.59806,108.0,-4.598060607910156,101.16691,98.0,-3.166908264160156,1
PHX,DET,115.460785,125.0,9.539215087890623,109.82203,133.0,23.17797088623047,0
NOP,NYK,104.59098,93.0,-11.590980529785156,111.70908,104.0,-7.709083557128906,0
CHI,BOS,105.58581,98.0,-7.585807800292969,113.73986,123.0,9.260139465332031,0
SAC,LAL,113.34317,99.0,-14.343170166015623,108.82334,103.0,-5.823341369628906,0
DAL,LAC,113.125786,113.0,-0.1257858276367187,113.20479,97.0,-16.204788208007812,1
ATL,MEM,114.8492,112.0,-2.8491973876953125,115.68773,128.0,12.312271118164062,0
CLE,PHI,110.95752,126.0,15.04248046875,105.94908,99.0,-6.9490814208984375,1
SAS,POR,115.36508,114.0,-1.365081787109375,112.78087,94.0,-18.78086853027344,1
MIL,WAS,119.31106,112.0,-7.311058044433594,107.13323,101.0,-6.133232116699219,1
TOR,HOU,107.98461,110.0,2.0153884887695312,107.63252,114.0,6.367477416992188,0
SAC,IND,120.17288,95.0,-25.172882080078125,115.48429,122.0,6.515708923339844,0
MEM,LAC,117.085526,110.0,-7.0855255126953125,111.76551,114.0,2.2344894409179688,0
CHA,HOU,102.5726,101.0,-1.572601318359375,111.034424,114.0,2.965576171875,0
LAL,DET,111.3637,114.0,2.636299133300781,105.01481,117.0,11.985191345214844,0
PHI,SAS,114.83255,111.0,-3.832550048828125,107.27979,106.0,-1.2797927856445312,1
MIA,BKN,113.58372,110.0,-3.5837173461914062,108.965515,95.0,-13.96551513671875,1
NYK,TOR,108.00686,139.0,30.993141174316406,106.38465,125.0,18.61534881591797,1
GSW,IND,110.031746,105.0,-5.031745910644531,109.53172,111.0,1.4682769775390625,0
ATL,MIN,119.94835,117.0,-2.948348999023437,115.42632,104.0,-11.42632293701172,1
BOS,PHI,109.65317,114.0,4.346832275390625,105.47435,118.0,12.525650024414062,0
NYK,SAS,115.21549,117.0,1.7845077514648438,107.69649,114.0,6.303512573242188,1
SAC,DET,117.61482,113.0,-4.6148223876953125,113.9274,114.0,0.072601318359375,0
ATL,CHI,116.49815,141.0,24.50184631347656,114.86858,133.0,18.13141632080078,1
ORL,MIA,102.775,88.0,-14.775001525878906,103.68628,89.0,-14.686279296875,0
MEM,TOR,111.71846,155.0,43.28153991699219,110.40679,126.0,15.59320831298828,1
MIL,BKN,116.96884,105.0,-11.968841552734377,109.03844,111.0,1.9615631103515625,0
WAS,CHA,112.874695,113.0,0.12530517578125,113.609825,110.0,-3.609825134277344,1
ORL,NYK,99.73947,85.0,-14.739471435546877,104.4462,108.0,3.553802490234375,0
LAC,GSW,111.78923,102.0,-9.789230346679688,106.49804,92.0,-14.498039245605469,1
DEN,CLE,114.295715,135.0,20.70428466796875,107.594604,149.0,41.4053955078125,0
PHX,DAL,113.962494,89.0,-24.96249389648437,112.30818,98.0,-14.308181762695312,0
LAL,SAC,111.27516,132.0,20.724838256835938,109.786316,122.0,12.21368408203125,1
CHA,OKC,103.16579,94.0,-9.165786743164062,112.02322,106.0,-6.023216247558594,0
DEN,DET,120.4988,134.0,13.501197814941406,109.50749,121.0,11.492507934570312,1
CHI,MIL,107.684784,116.0,8.315216064453125,111.75842,111.0,-0.7584228515625,1
UTA,PHI,110.21759,111.0,0.78240966796875,112.26519,114.0,1.7348098754882812,0
POR,DAL,110.456505,126.0,15.543495178222656,119.20449,122.0,2.7955093383789062,1
BOS,IND,113.8207,114.0,0.1792984008789062,106.79614,123.0,16.203857421875,0
ORL,BKN,106.201935,102.0,-4.201934814453125,106.62823,101.0,-5.628227233886719,1
TOR,ATL,115.14437,107.0,-8.144371032714844,116.64969,136.0,19.350311279296875,0
HOU,MIA,107.26082,100.0,-7.260818481445312,107.35906,104.0,-3.3590621948242188,0
WAS,NYK,106.27503,106.0,-0.2750320434570312,115.25357,126.0,10.746429443359377,0
SAC,DAL,113.42454,110.0,-3.4245376586914062,117.89737,100.0,-17.897369384765625,1
POR,PHI,111.60276,103.0,-8.602760314941406,114.5403,125.0,10.459701538085938,0
GSW,CLE,107.784546,95.0,-12.7845458984375,107.45504,113.0,5.544960021972656,0
BOS,TOR,115.67327,125.0,9.32672882080078,108.653946,71.0,-37.65394592285156,1
LAL,CLE,104.424934,110.0,5.575065612792969,106.26277,122.0,15.737228393554688,0
GSW,MIA,115.57243,98.0,-17.572433471679688,107.960976,114.0,6.039024353027344,0
BKN,DET,106.25396,98.0,-8.253959655761719,105.2427,113.0,7.757301330566406,0
DAL,POR,110.61368,117.0,6.386322021484375,107.134155,111.0,3.8658447265625,1
PHX,ATL,115.540535,123.0,7.459465026855469,108.29689,115.0,6.7031097412109375,1
CLE,TOR,110.75945,132.0,21.24054718017578,111.08881,126.0,14.91118621826172,1
DET,GSW,109.766846,104.0,-5.766845703125,105.706505,107.0,1.2934951782226562,0
IND,GSW,115.47746,108.0,-7.477462768554687,109.1483,96.0,-13.148300170898438,1
DEN,BKN,117.8755,124.0,6.1244964599609375,108.317856,105.0,-3.317855834960937,1
ORL,MIL,99.067444,106.0,6.93255615234375,109.58987,109.0,-0.5898666381835938,0
BOS,SAC,114.59466,97.0,-17.59465789794922,103.14852,114.0,10.851478576660156,0
POR,MIA,106.58679,98.0,-8.5867919921875,108.42814,119.0,10.571861267089844,0
DET,TOR,113.673225,123.0,9.326774597167969,107.05709,114.0,6.942909240722656,1
MIN,MEM,110.14351,125.0,14.856491088867188,110.98785,127.0,16.01215362548828,0
BOS,NOP,112.30117,120.0,7.698829650878906,104.3445,119.0,14.655502319335938,1
UTA,BKN,110.251335,112.0,1.7486648559570312,107.417336,111.0,3.5826644897460938,1
PHX,CHA,113.53362,120.0,6.466377258300781,102.463936,113.0,10.53606414794922,1
CHI,SAC,111.75277,119.0,7.247230529785156,114.40411,124.0,9.59588623046875,0
ORL,PHI,103.51091,104.0,0.4890899658203125,103.80996,99.0,-4.809959411621094,1
NYK,MIL,105.55973,140.0,34.440269470214844,117.701,106.0,-11.70099639892578,1
TOR,GSW,112.32189,104.0,-8.321891784667969,108.13311,101.0,-7.133110046386719,1
WAS,MIN,112.92185,106.0,-6.921852111816406,117.923904,120.0,2.0760955810546875,0
HOU,MEM,108.5582,120.0,11.441802978515623,110.9726,118.0,7.027397155761719,1
POR,BKN,110.15023,114.0,3.849769592285156,111.80863,132.0,20.191368103027344,0
ATL,PHX,112.485954,122.0,9.514045715332031,118.967125,117.0,-1.967124938964844,1
PHI,OKC,107.11392,102.0,-5.113922119140625,110.93435,118.0,7.065650939941406,0
MIL,SAC,117.423004,130.0,12.576995849609377,114.83288,115.0,0.1671218872070312,1
CHI,NOP,112.18936,113.0,0.810638427734375,113.299995,119.0,5.700004577636719,0
DAL,DEN,112.07072,99.0,-13.070716857910156,109.57006,118.0,8.429939270019531,0
MIL,ORL,110.62739,122.0,11.37261199951172,97.45107,93.0,-4.451072692871094,1
LAL,MIA,104.809,117.0,12.191001892089844,106.61384,108.0,1.3861618041992188,1
PHI,NYK,109.212234,119.0,9.787765502929688,107.21592,125.0,17.784080505371094,0
